peakx,peaky
33.0,0.0054022595529170546
130.0,0.00307486653346729
238.0,0.007930232024696154
354.0,0.0025913706042640094
445.0,0.005232865918243625
555.0,0.004362760450540948
657.0,0.006625580043244537
767.0,0.0021015835161636914
876.0,0.007086551709619015
978.0,0.00397125897596636
1093.0,0.005498202766868281
1188.0,0.0033796271874992085
1309.0,0.0064937861693989615
1404.0,0.004504671448000531
1524.0,0.005590256598394626
1622.0,0.00498047233250394
1736.0,0.009532843869549916
1832.0,0.005822634772799906
1953.0,0.00787152749242664
2048.0,0.0028321148697041327
2169.0,0.00821274469940958
2253.0,0.008093818358286644
2378.0,0.00170385000000000
2479.0,0.01640481823117886
2579.0,0.008741926668727609
2699.0,0.007344231513059153
2806.0,0.005679265901366457
2900.0,0.00569491136320214
3016.0,0.002517010697771948
3120.0,0.009738400302294222
3226.0,0.007392115742656041
3324.0,0.009124498596682285
3435.0,0.005597384234944396
3525.0,0.001237200000000000
3647.0,0.009615481873113079
3747.0,0.006675097925678128
3857.0,0.007660267119168995
3959.0,0.008413891918470822
4074.0,0.00744612469952754
4174.0,0.009224190435591664
4279.0,0.0068754917080895515
4377.0,0.010478094241637485
4492.0,0.007820758599510598
4595.0,0.007876676867849017
4700.0,0.00582784733927731
4805.0,0.014455275307176357
4913.0,0.004941277463627005
5013.0,0.009471657227128337
5128.0,0.009522190548302101
5230.0,0.011390008640211696
5335.0,0.0034853938493896496
5441.0,0.009152609273937216
5547.0,0.007347286023325308
5657.0,0.01249053529989555
5749.0,0.007569480030121235
5863.0,0.009043928475917323
5963.0,0.004814438726001179
6069.0,0.006707948870635063
6173.0,0.004286393459830152
6279.0,0.010124844793378916
6380.0,0.00506843844410978
6484.0,0.006940207955454747
6590.0,0.0025334711091395644
6696.0,0.0076939725655333635
6801.0,0.004028124581960408
6897.0,0.0049499490060318455
6998.0,0.004803472390554437
7108.0,0.006104794652782901
7213.0,0.001308300000000000
7318.0,0.009525648609681317
7417.0,0.003512106656622412
7524.0,0.007460966293901065
7626.0,0.00571039802957847
7740.0,0.010258722980871984
7947.0,0.006831044082271254
8042.0,0.008293301131953833
8154.0,0.00788490422102835
8254.0,0.005730279156268233
8364.0,0.006026475852914312
8465.0,0.008752272804028627
8570.0,0.006462672163138052
8670.0,0.009503347122089095
8783.0,0.009504009693725564
8883.0,0.0054442330493620706
8988.0,0.005793506555944938
9094.0,0.009106525315950263
9194.0,0.007630278975831231
9314.0,0.008464592372368837
9410.0,0.005857177684154118
9512.0,0.008264533318624253
9617.0,0.008553871002892177
9744.0,0.00945404003476456
9834.0,0.0027391778426843144
9960.0,0.004229387204911843
10026.0,0.00158964000000000
10126.0,0.007064104624019847
10228.0,0.004236455583018954
10329.0,0.008516768760485354
10440.0,0.004540679028051126
10528.0,0.005808139364674671
10648.0,0.003766653066474189
10753.0,0.007322901394104446
10846.0,0.003614510977443956
10951.0,0.007454933243580549
11051.0,0.005820810421139799
11163.0,0.004074738844472718
11263.0,0.01726816958612535
11368.0,0.010377651795060179
11465.0,0.006321561607808256
11575.0,0.008433247281827988
11680.0,0.0080551116656831
11778.0,0.0054433701842431055
11888.0,0.0048739133883619395
11987.0,0.005280840991172928
